Product Category,Unit Price,Quantity,Discount(%),Pages Viewed,Time on Site (Sec),Added to Cart,Purchased
Groceries,1108.72,2,0,22,929,1,0
Sports,86.32,3,0,11,1399,1,0
Sports,127.34,4,10,12,1799,1,1
Books,1762.6,4,0,10,56,0,0
Sports,298.3,3,0,13,407,0,0
Home & Kitchen,936.93,3,0,18,26,1,0
Groceries,845.79,4,20,5,386,1,0
Toys,1854.61,2,0,15,403,1,1
Sports,142.05,3,15,8,1565,1,0
Sports,380.1,3,0,19,110,0,0
Beauty,1391.07,1,0,16,1539,1,0
Electronics,941.96,4,25,20,901,0,0
Sports,399.91,4,5,19,1569,1,1
Groceries,797.39,4,5,8,995,1,0
Electronics,630.13,1,15,2,1039,1,0
Toys,1690.88,2,0,2,789,1,0
Books,1881.31,2,10,15,1416,1,0
Toys,620.86,2,10,6,761,0,0
Groceries,400.48,4,5,11,913,0,0
Fashion,134.74,1,0,20,508,0,0
Home & Kitchen,437.87,1,0,2,436,1,0
Books,699.58,2,10,24,1588,1,0
Home & Kitchen,1250.58,1,5,21,1431,1,0
Electronics,673.77,4,25,1,843,0,0
Books,1939.82,2,10,22,423,0,0
Sports,347.37,2,0,18,1342,1,1
Fashion,172.9,2,0,7,52,1,1
Fashion,100.23,3,0,18,1264,0,0
Fashion,743.97,4,20,9,490,1,1
Toys,1785.61,2,0,6,116,0,0
Beauty,206.67,2,0,11,91,0,0
Groceries,1187.53,4,10,7,1635,1,1
Groceries,327.64,2,5,19,346,1,1
Groceries,236.64,1,0,15,725,1,1
Sports,361.07,4,0,8,677,0,0
Groceries,957.84,1,10,3,1335,1,0
Beauty,792.3,3,30,22,912,1,1
Toys,1752.2,2,0,22,937,0,0
Electronics,390.31,4,5,8,1717,0,0
Toys,800.92,3,10,1,32,1,0
Sports,315.86,3,20,15,836,1,0
Books,1212.08,3,5,5,1691,1,1
Home & Kitchen,1331.96,1,20,24,895,1,0
Sports,79.14,4,30,21,231,0,0
Home & Kitchen,365.83,3,15,11,1566,1,1
Fashion,711.71,2,10,11,1406,0,0
Fashion,430.13,1,20,20,455,1,0
Groceries,995.12,1,15,24,1703,1,1
Home & Kitchen,750.76,1,30,9,1577,0,0
Home & Kitchen,550.07,1,20,1,1314,1,1
Books,1311.07,2,20,10,1663,0,0
Beauty,206.54,3,0,15,965,1,0
Sports,362.95,4,20,2,668,1,0
Groceries,582.16,1,25,17,511,1,0
Books,510.57,3,20,1,493,0,0
Sports,341.49,3,15,3,1122,0,0
Beauty,1396.49,4,20,22,1410,0,0
Home & Kitchen,1163.06,1,0,12,561,1,0
Books,1575.93,2,0,10,1275,1,0
Beauty,851.72,3,5,13,408,1,1
Beauty,1655.6,2,10,7,568,1,1
Toys,576.93,3,5,17,990,1,0
Books,884.28,3,15,14,738,0,0
Electronics,218.69,2,20,3,416,1,1
Books,617.57,1,0,8,893,1,1
Electronics,265.83,2,20,9,1096,1,1
Toys,1024.74,3,0,5,978,1,1
Toys,822.48,2,0,13,1106,0,0
Fashion,592.38,2,0,4,1133,1,0
Fashion,551.09,4,0,24,802,1,1
Beauty,1217.04,1,10,13,669,1,0
Sports,336.13,3,0,16,1409,1,0
Sports,142.15,1,0,19,587,1,0
Books,1103.22,3,25,24,1169,0,0
Sports,326.21,1,20,20,1323,1,1
Electronics,617.48,4,25,1,1664,1,1
Electronics,366.08,2,15,10,428,1,0
Toys,318.06,4,25,22,513,0,0
Home & Kitchen,303.76,4,15,9,163,1,0
Sports,71.83,3,30,20,1528,1,1
Sports,281.45,4,0,5,928,1,0
Fashion,459.48,4,0,1,366,0,0
Beauty,1074.17,3,20,18,1531,1,0
Sports,90.43,3,5,17,23,0,0
Fashion,227.82,1,30,18,364,1,0
Beauty,843.68,3,5,18,241,0,0
Toys,485.74,3,25,21,1715,0,0
Books,566.18,3,15,16,1528,1,1
Toys,597.32,4,20,23,1211,1,0
Toys,1269.41,2,20,6,1308,1,1
Fashion,139.49,3,0,11,1036,1,1
Electronics,884.63,4,20,11,331,0,0
Electronics,241.62,2,0,7,833,1,0
Home & Kitchen,854.7,3,15,3,1752,1,0
Sports,253.48,3,25,16,1020,1,1
Electronics,156.7,4,0,23,1021,1,0
Fashion,474.42,3,5,10,302,1,0
Electronics,929.8,2,10,18,713,1,0
Toys,1677.91,2,10,13,1444,1,0
Fashion,728.41,2,10,23,666,0,0
Home & Kitchen,411.52,4,5,16,1356,1,0
Fashion,616.3,3,0,5,1196,0,0
Electronics,644.6,4,0,22,1755,1,0
Home & Kitchen,1180.88,2,30,13,1784,1,0
Home & Kitchen,600.53,2,25,21,1329,1,1
Home & Kitchen,1230.68,3,10,7,1513,0,0
Beauty,599.38,2,0,12,1757,1,1
Groceries,607.96,4,20,15,59,0,0
Fashion,481.4,2,5,15,935,0,0
Beauty,1169.04,4,15,16,1520,0,0
Toys,1730.07,4,0,5,687,1,1
Groceries,1194.43,2,5,23,1617,0,0
Books,1250.6,3,5,14,667,1,1
Sports,307.22,2,0,10,144,1,0
Books,1292.96,4,10,18,1093,1,1
Toys,1032.46,3,15,21,1645,1,0
Books,958.73,1,0,7,129,1,1
Beauty,1352.04,1,25,21,1624,1,0
Fashion,306.19,4,10,8,1307,1,1
Home & Kitchen,773.76,1,20,12,1494,0,0
Home & Kitchen,838.1,1,0,24,1644,1,0
Beauty,1675.08,1,0,7,865,0,0
Groceries,671.28,4,15,19,1206,0,0
Fashion,723.96,3,5,10,474,1,0
Groceries,980.65,1,0,15,1697,1,0
Groceries,956.85,2,15,19,311,0,0
Home & Kitchen,801.89,1,0,21,1566,0,0
Fashion,585.92,3,10,17,321,0,0
Electronics,799.71,4,0,5,776,0,0
Beauty,1614.75,4,0,21,1756,0,0
Fashion,636.71,4,10,18,942,0,0
Beauty,925.94,2,5,23,1118,0,0
Home & Kitchen,1174.82,2,0,7,649,0,0
Books,1216.21,3,5,14,1016,1,0
Toys,805.88,3,15,5,1789,1,0
Fashion,454.72,2,20,12,114,1,0
Toys,1412.23,1,25,22,197,1,1
Books,994.55,1,0,3,674,1,1
Groceries,550.73,2,0,9,1736,1,0
Sports,130.92,4,15,10,1097,1,0
Beauty,1099.11,3,10,17,1644,1,0
Sports,146.17,2,20,11,1619,0,0
Home & Kitchen,1386.14,3,15,20,1163,1,1
Electronics,221.07,2,0,21,1037,1,0
Sports,135.23,2,0,7,223,1,0
Fashion,268.37,4,0,23,954,1,0
Sports,68.6,3,15,9,74,1,1
Home & Kitchen,722.5,2,10,14,411,1,1
Beauty,1770.99,3,0,13,1101,1,1
Toys,1297.97,3,0,23,166,1,0
Books,534.3,2,15,16,1730,0,0
Home & Kitchen,512.88,4,5,4,869,0,0
Toys,1434.03,2,0,2,1226,1,1
Home & Kitchen,1402.4,1,0,16,863,1,0
Beauty,885.2,4,20,22,279,1,0
Electronics,888.07,2,0,12,1423,1,0
Groceries,1159.01,4,5,19,741,1,1
Electronics,187.55,3,10,11,106,0,0
Books,585.66,4,10,23,417,1,0
Electronics,319.83,2,0,8,1736,1,0
Fashion,295.69,2,15,18,1344,0,0
Fashion,504.95,4,15,19,349,1,0
Beauty,1115.95,4,0,7,1013,1,0
Groceries,709.69,2,30,1,1514,1,0
Toys,1009.82,2,0,2,1536,1,0
Books,788.95,4,30,9,759,1,0
Toys,1672.03,3,5,24,34,0,0
Beauty,1564.2,1,0,5,1705,1,0
Sports,337.13,4,10,1,1205,1,1
Fashion,685.15,3,0,6,1301,1,0
Beauty,532.32,1,30,22,1667,1,0
Books,1108.04,4,10,1,733,1,0
Home & Kitchen,372.19,3,5,10,559,0,0
Toys,641.83,3,0,17,1783,0,0
Sports,486.09,3,0,1,1076,1,0
Fashion,641.18,4,0,3,609,0,0
Electronics,536.53,1,15,4,261,0,0
Sports,302.9,2,0,2,81,0,0
Sports,432.16,3,0,24,1349,1,1
Toys,1343.36,2,0,9,77,1,0
Groceries,638.52,4,0,15,1416,0,0
Electronics,490.41,2,25,5,687,1,0
Fashion,155.98,3,20,15,1735,1,0
Fashion,355.78,2,10,17,1598,1,0
Books,1582.62,1,15,6,124,1,0
Electronics,238.12,1,0,16,172,0,0
Beauty,527.75,2,10,1,554,0,0
Toys,1772.61,1,20,13,1036,0,0
Toys,562.46,1,20,19,1104,0,0
Beauty,1536.98,3,0,23,886,0,0
Toys,837.65,2,0,7,851,0,0
Home & Kitchen,403.81,1,5,20,1187,1,0
Beauty,501.37,4,20,10,888,1,1
Toys,810.53,3,30,14,1538,1,0
Toys,415.09,3,15,11,1472,1,0
Sports,417.01,3,10,22,1204,1,0
Books,1853.76,2,20,3,1362,0,0
Toys,269.13,3,5,7,209,1,1
Home & Kitchen,1198.43,2,20,6,1128,0,0
Beauty,877.16,3,30,11,667,0,0
Books,1728.44,2,0,11,582,1,1
Beauty,1059.34,3,20,13,1028,1,0
Home & Kitchen,1119.7,4,0,11,948,0,0
Electronics,721.39,2,0,4,934,0,0
Home & Kitchen,678.63,2,30,24,211,0,0
Electronics,540.75,4,0,21,1473,1,0
Toys,1869.89,4,0,2,1287,1,1
Fashion,648.66,2,25,4,671,1,1
Sports,51.31,4,15,11,1312,1,1
Home & Kitchen,305.01,1,15,10,510,1,1
Sports,338.85,2,5,22,523,0,0
Electronics,165.31,1,10,18,1742,1,1
Fashion,556.39,4,25,12,1065,0,0
Books,905.71,4,25,5,828,0,0
Groceries,222.52,3,15,15,136,1,1
Sports,85.12,3,0,8,1187,1,1
Books,1665.32,4,0,13,155,1,1
Beauty,1777.53,4,0,12,322,1,0
Electronics,578.47,4,0,18,390,0,0
Beauty,1097.1,2,5,22,967,1,1
Electronics,861.83,3,5,17,675,1,0
Electronics,938.51,2,20,1,1363,0,0
Fashion,641.96,1,10,13,142,1,0
Toys,1872.72,3,10,3,1352,1,0
Books,758.44,1,0,13,1438,1,1
Toys,649.63,4,25,22,1650,1,1
Beauty,1686.39,2,5,16,1076,1,0
Home & Kitchen,443,2,5,8,1644,1,1
Books,1837.07,1,15,16,1547,1,0
Books,652.11,2,15,22,1456,0,0
Groceries,908.54,2,0,15,1243,1,0
Groceries,825.41,4,30,9,344,0,0
Sports,355.75,3,15,1,703,1,0
Groceries,544.86,3,10,8,518,1,0
Home & Kitchen,1060.87,4,0,24,549,0,0
Home & Kitchen,1294.33,3,30,15,1409,1,0
Groceries,1113.81,1,0,24,1545,1,1
Fashion,113.04,1,0,1,177,1,1
Sports,189.41,4,10,11,1458,0,0
Books,906.58,2,10,11,250,1,0
Beauty,424.63,2,0,3,1500,1,0
Home & Kitchen,1417.81,1,30,3,804,1,1
Toys,1639.92,1,10,14,728,0,0
Toys,1880.92,2,0,1,1188,0,0
Home & Kitchen,389.17,2,20,5,307,1,0
Groceries,801.33,2,15,3,1106,1,0
Books,797.81,3,0,19,102,0,0
Books,1370.37,1,15,10,293,1,0
Electronics,454.22,1,0,6,664,1,0
Sports,438.81,4,15,21,1241,0,0
Beauty,1215.72,1,10,13,347,0,0
Electronics,770.69,4,15,10,993,0,0
Groceries,1180.78,3,5,13,697,1,1
Books,1492.38,2,10,16,1568,1,0
Sports,131.52,4,10,21,839,1,0
Electronics,288.83,2,0,20,546,1,0
Home & Kitchen,879.39,3,20,11,794,1,1
Electronics,645.16,2,0,13,317,0,0
Home & Kitchen,1076.19,1,25,24,1612,1,1
Books,1183.96,2,10,14,666,0,0
Home & Kitchen,1375.35,2,0,9,450,1,0
Groceries,1153.61,4,0,14,1324,1,0
Fashion,152.25,4,20,17,30,0,0
Beauty,1683.74,1,10,3,576,1,0
Beauty,1659.58,4,30,23,393,1,0
Sports,143.31,3,0,24,1374,1,1
Toys,506.39,2,20,1,10,1,0
Sports,335.97,3,15,12,533,1,0
Fashion,328.21,3,5,20,1626,0,0
Toys,333.25,1,10,1,920,1,1
Books,1266.42,4,0,10,146,0,0
Toys,1534.76,4,5,12,499,1,1
Toys,1405.14,3,0,5,608,1,0
Sports,102.68,4,0,3,357,1,0
Beauty,906.58,4,5,17,622,1,0
Electronics,602.77,1,0,21,446,1,0
Toys,1285.85,2,15,23,642,0,0
Toys,1907.2,2,15,4,1676,0,0
Groceries,695.46,4,10,1,677,1,1
Beauty,964,2,15,14,1742,0,0
Books,634.94,1,0,4,1162,0,0
Sports,299.97,2,0,6,1074,1,1
Electronics,158.88,1,15,1,191,1,0
Home & Kitchen,583.19,2,0,5,309,1,0
Sports,107.11,2,15,15,1219,1,1
Sports,317.9,4,0,23,203,0,0
Home & Kitchen,335.02,2,0,17,735,1,0
Sports,448.8,4,15,19,605,0,0
Electronics,470.37,2,20,12,411,1,0
Home & Kitchen,766.49,2,15,3,1628,1,1
Home & Kitchen,1487.49,1,0,9,556,1,0
Home & Kitchen,1016.24,3,20,8,300,0,0
Fashion,605.18,2,0,11,1576,1,0
Groceries,847.86,3,20,11,759,0,0
Toys,1555.23,2,0,13,1110,0,0
Fashion,235.72,3,0,2,856,1,1
Groceries,868.96,2,0,8,1251,1,0
Sports,352.31,2,0,9,1589,1,1
Sports,153.3,4,10,8,225,1,0
Home & Kitchen,1409.16,1,0,22,1612,1,0
Groceries,703.84,4,30,5,1075,1,1
Home & Kitchen,353.38,4,15,22,392,0,0
Groceries,476.27,2,0,14,1349,0,0
Beauty,944.83,2,15,10,285,1,0
Books,1571.06,2,20,19,257,1,0
Books,1094.69,1,0,23,288,0,0
Toys,1358.42,1,25,15,79,0,0
Beauty,1016.19,3,0,8,902,0,0
Toys,765.48,2,20,6,548,1,0
Beauty,992.21,2,25,11,983,0,0
Books,1047.66,1,0,23,238,1,1
Beauty,1647.4,4,20,18,571,1,0
Beauty,1752.05,3,0,16,1596,1,1
Fashion,542.78,4,15,21,1492,1,0
Beauty,257.31,1,25,16,1445,0,0
Fashion,181.15,3,5,2,920,0,0
Toys,705.06,2,0,19,680,1,0
Fashion,245.22,3,0,6,1369,1,1
Electronics,841.38,4,0,18,914,1,1
Home & Kitchen,301.8,3,5,9,24,1,0
Sports,188.28,2,0,10,850,1,1
Sports,290.61,4,15,10,657,1,0
Home & Kitchen,1448.23,4,0,17,537,1,0
Groceries,487.87,4,0,22,1378,0,0
Electronics,645.3,4,15,14,1209,1,1
Groceries,549.34,4,0,9,617,1,0
Home & Kitchen,1154.23,3,0,22,924,1,1
Toys,1734.59,2,20,24,30,1,1
Groceries,352.6,4,20,12,605,1,0
Beauty,992.97,2,10,2,443,1,0
Fashion,381.36,4,15,19,455,1,1
Sports,372.63,3,15,20,1084,1,0
Beauty,1397.7,4,5,21,82,1,0
Groceries,523.84,2,15,13,941,0,0
Beauty,1253.42,4,0,24,691,1,0
Fashion,665.1,2,10,16,85,1,0
Books,1517.91,3,25,16,375,1,0
Sports,320.27,3,0,9,1402,1,0
Home & Kitchen,1215.86,3,0,19,423,0,0
Toys,1448.97,1,10,5,136,1,0
Fashion,583.21,2,10,18,1394,1,0
Home & Kitchen,1351.44,1,10,4,32,0,0
Books,1443.18,4,10,20,1760,1,0
Home & Kitchen,644.44,2,0,4,1569,1,0
Electronics,396.68,4,10,2,29,1,0
Home & Kitchen,831.68,1,15,18,1693,0,0
Home & Kitchen,383.23,1,0,18,429,0,0
Sports,223.26,1,15,8,1657,0,0
Electronics,459.33,2,0,7,1344,1,0
Books,799.39,1,20,10,343,1,0
Home & Kitchen,947.05,1,15,9,1064,1,0
Electronics,161.48,4,0,18,1562,1,0
Beauty,1675.62,3,10,24,226,1,1
Home & Kitchen,514.51,1,5,8,136,1,0
Groceries,746.99,4,15,14,929,0,0
Fashion,489.27,4,5,21,105,1,1
Sports,302.47,1,10,15,417,0,0
Toys,940.04,1,0,10,1646,1,1
Beauty,1109.28,2,25,13,1020,1,0
Groceries,1011.35,1,5,13,1251,1,0
Fashion,262.19,1,5,10,232,1,0
Toys,1772.11,4,5,3,699,0,0
Fashion,669.77,2,5,13,119,1,0
Books,1874.5,4,20,2,1200,1,0
Beauty,1013.6,3,0,5,1168,1,0
Home & Kitchen,1375.13,1,15,21,1348,1,1
Beauty,1495.55,4,5,8,691,1,0
Fashion,694.97,2,0,11,1548,0,0
Toys,1332.76,3,0,16,1131,0,0
Groceries,879.51,3,0,12,811,1,1
Home & Kitchen,438.04,4,15,14,623,0,0
Electronics,182.5,4,0,1,1410,0,0
Fashion,697.92,1,30,13,1249,0,0
Books,1710.75,3,25,8,1274,0,0
Fashion,205.71,1,15,2,1089,0,0
Toys,681.63,1,0,19,386,1,1
Toys,643.66,2,25,1,732,1,0
Groceries,814.86,2,0,17,1708,0,0
Groceries,820.03,4,25,5,1013,0,0
Electronics,272.51,3,0,4,560,1,0
Books,1135.53,4,20,1,1214,1,0
Beauty,905.97,4,30,5,1192,1,0
Electronics,723.53,2,10,16,1592,1,1
Beauty,1624.12,3,0,16,879,1,0
Books,1597.25,3,25,6,392,1,0
Beauty,1541.96,1,20,10,896,1,0
Books,718.68,3,0,13,154,0,0
Groceries,473.91,2,0,1,1716,0,0
Beauty,1036.84,1,10,9,747,1,0
Electronics,457.47,2,15,19,415,1,1
Books,1744.65,1,0,8,760,0,0
Fashion,434.65,2,0,8,1055,1,0
Sports,385.73,3,5,5,1624,0,0
Beauty,855.65,2,0,1,1561,0,0
Toys,488.83,4,5,21,1687,1,0
Beauty,750.66,2,0,4,469,1,1
Toys,1569.07,1,0,3,940,1,0
Sports,422.31,2,30,16,1008,1,0
Home & Kitchen,317.92,3,0,4,1249,1,1
Home & Kitchen,726.22,3,10,7,1317,0,0
Groceries,646.41,3,5,4,940,1,0
Electronics,726.01,4,10,14,1255,1,1
Beauty,504.3,1,0,15,1685,1,0
Electronics,940.89,2,0,10,1061,0,0
Beauty,508.95,1,0,10,1390,1,0
Fashion,356.2,2,0,12,581,0,0
Sports,327.85,1,25,10,1051,1,0
Beauty,1167.74,2,0,23,1237,1,0
Toys,1257.07,1,0,11,1481,1,1
Sports,114.12,3,10,4,1460,1,1
Toys,1918.13,2,25,23,372,0,0
Fashion,779.85,2,20,1,1189,0,0
Sports,151.08,4,5,20,1468,1,1
Fashion,512.99,4,5,15,1286,1,0
Fashion,321.57,2,0,19,185,0,0
Toys,1458.14,3,15,4,1482,0,0
Beauty,445.11,2,0,6,1199,1,0
Fashion,729.26,2,10,12,84,0,0
Beauty,763.03,4,20,21,1636,1,1
Books,1711.63,4,20,2,114,1,0
Home & Kitchen,323.29,1,0,18,599,1,0
Toys,1819.31,1,0,24,255,1,0
Groceries,1130.16,2,0,22,184,1,0
Home & Kitchen,1217.47,4,20,21,982,1,0
Beauty,1236.69,1,0,20,751,1,0
Home & Kitchen,305.57,4,0,18,1402,0,0
Books,932.35,3,0,6,887,0,0
Home & Kitchen,933.65,3,0,16,827,0,0
Groceries,378.71,4,0,19,124,1,0
Groceries,203.71,4,0,13,888,1,0
Sports,344.29,3,0,6,1274,1,0
Books,652.19,1,15,23,153,0,0
Groceries,749.81,4,15,8,1685,1,0
Electronics,944.9,3,15,16,628,0,0
Beauty,814.97,3,0,13,548,1,0
Home & Kitchen,564.8,1,10,23,520,1,0
Home & Kitchen,397.82,4,0,24,610,0,0
Electronics,673.57,4,20,12,1480,1,1
Groceries,1129.38,3,15,2,1179,1,1
Home & Kitchen,1063.66,1,0,17,1419,0,0
Toys,618.6,2,10,12,980,1,0
Home & Kitchen,1227.57,2,0,2,246,0,0
Home & Kitchen,861.45,3,20,2,393,0,0
Books,1484.1,1,5,13,1692,1,1
Sports,471.19,3,20,24,738,1,0
Beauty,1274.69,1,0,20,1000,0,0
Electronics,729.18,2,10,7,259,0,0
Home & Kitchen,1292.57,3,0,12,1128,0,0
Electronics,644.37,4,25,19,449,1,0
Toys,1877.92,4,0,22,588,1,0
Fashion,437.32,2,10,4,1599,1,0
Electronics,496.73,1,5,7,668,0,0
Home & Kitchen,1351.66,3,0,24,801,1,0
Fashion,548.72,1,10,18,765,0,0
Electronics,159.49,1,15,13,991,1,0
Books,976.47,4,25,3,322,0,0
Fashion,366.36,3,0,18,631,1,0
Fashion,616.95,1,0,5,1225,0,0
Home & Kitchen,334.06,4,15,24,1378,1,0
Books,1664.88,2,25,1,745,0,0
Books,1909.52,2,15,21,168,0,0
Beauty,922.16,3,0,24,852,1,1
Sports,289.2,4,0,21,994,1,1
Toys,1211.66,1,20,21,1072,0,0
Sports,211.92,4,0,20,1033,1,0
Electronics,694.54,1,0,6,1176,1,0
Books,1288.52,3,30,2,1471,1,0
Fashion,526.55,3,0,7,541,0,0
Beauty,708.01,1,0,23,1599,1,0
Electronics,280.5,4,15,14,1528,0,0
Toys,1696.42,4,10,2,306,1,0
Sports,212.44,4,15,19,463,1,0
Toys,1046.46,1,30,8,1729,1,1
Electronics,767.59,1,10,19,894,1,0
Fashion,669.34,2,0,9,1796,0,0
Home & Kitchen,1232.72,2,0,6,195,0,0
Beauty,761.41,4,0,20,1156,0,0
Electronics,222.7,3,5,20,437,0,0
Sports,294.45,3,20,5,46,0,0
Electronics,770.86,1,0,1,1357,1,0
Books,1356.15,2,0,10,103,0,0
Books,719.92,4,10,9,954,1,0
Groceries,311.98,2,15,20,1677,1,1
Groceries,614.35,3,30,14,537,1,0
Fashion,403.64,3,15,12,1462,0,0
Beauty,768.22,1,0,19,175,1,1
Books,1607.76,2,15,22,638,1,1
Groceries,1051.43,3,30,18,1378,1,0
Groceries,637.71,1,15,17,436,1,0
Toys,1901.06,3,5,4,818,0,0
Sports,497.95,1,0,17,923,1,1
Home & Kitchen,1077.87,1,15,11,1697,1,0
Groceries,595.1,2,5,11,1395,0,0
Sports,403.33,3,20,20,939,1,0
Electronics,218.81,3,15,7,910,1,1
Toys,777.86,1,0,20,517,1,0
Toys,1728.77,4,10,19,1528,0,0
Beauty,859.99,4,0,5,749,0,0
Beauty,1724.63,1,15,1,114,1,1
Toys,1948.26,3,0,2,1394,1,1
Beauty,1388.34,1,15,22,1483,1,1
Groceries,1055.44,3,0,1,459,1,1
Groceries,263.5,2,25,16,215,1,0
Electronics,590.14,1,20,8,804,1,0
Electronics,916.61,1,25,10,1377,1,1
Books,1197.71,2,0,6,1214,1,0
Fashion,588.88,4,25,1,404,1,0
Sports,85.9,4,30,9,1732,1,0
Toys,1914.37,3,0,16,1263,1,1
Books,974.39,2,15,3,1772,1,0
Fashion,587.51,2,5,14,1629,1,1
Toys,1666.77,3,5,10,332,1,1
Sports,136.21,1,10,15,1345,0,0
Toys,792.71,4,15,1,558,1,0
Beauty,483.82,2,5,21,414,1,0
Home & Kitchen,729.38,4,10,1,1596,1,1
Home & Kitchen,1351.9,4,15,20,412,1,0
Toys,257.59,3,30,14,385,0,0
Home & Kitchen,441.14,4,25,9,414,1,0
Toys,1702.65,4,0,20,810,1,0
Sports,260.23,2,20,19,201,0,0
Toys,396.15,4,20,3,210,1,0
Beauty,1261.49,4,0,8,152,1,0
Home & Kitchen,1121.89,2,0,7,1340,0,0
Sports,366.8,2,10,3,393,1,1
Home & Kitchen,397.09,4,10,14,732,0,0
Books,1308.32,3,0,21,299,1,0
Electronics,718.52,3,25,21,1799,0,0
Books,717.14,1,5,16,1628,0,0
Groceries,402.91,4,0,10,998,0,0
Groceries,294.35,3,0,14,1559,1,1
Home & Kitchen,1073.39,1,10,21,852,0,0
Fashion,164.23,1,30,15,1491,1,0
Sports,121.3,1,0,3,698,1,0
Toys,1419.98,4,0,20,688,1,1
Books,1898.54,4,0,16,1017,0,0
Electronics,835.12,2,0,18,1232,1,0
Electronics,904,3,25,13,977,0,0
Toys,753.71,3,0,17,563,1,1
Sports,479.28,2,0,17,562,0,0
Electronics,225.34,4,0,10,1096,0,0
Sports,97.36,2,10,4,1687,0,0
Toys,1172.7,1,0,6,1797,0,0
Books,946.62,2,5,18,1543,1,1
Electronics,670.1,3,15,6,1115,0,0
Fashion,333.48,2,0,1,162,1,0
Fashion,138.24,4,0,4,873,1,0
Toys,1514.94,4,15,10,547,1,0
Toys,1604.82,2,0,24,1366,1,0
Fashion,603.51,4,0,9,192,0,0
Books,1134.85,2,10,19,1667,1,0
Books,606.56,1,0,14,869,1,1
Beauty,725.2,3,0,12,924,1,0
Toys,920.68,3,5,16,1444,1,1
Home & Kitchen,651.44,3,30,23,1204,1,0
Groceries,199.27,3,15,17,1440,1,0
Groceries,1104.59,4,10,14,1400,1,1
Electronics,666.08,3,10,12,1481,1,1
Electronics,768.96,3,20,6,341,0,0
Toys,1092.33,1,15,16,453,1,0
Books,660.19,4,0,23,582,0,0
Fashion,604.87,3,0,14,1681,0,0
Groceries,528.07,3,25,6,1264,1,0
Sports,63.72,3,15,12,1695,1,1
Beauty,1280.08,2,0,5,1311,1,1
Fashion,638.58,3,0,9,534,0,0
Books,624.35,4,20,18,908,0,0
Home & Kitchen,595.47,3,0,24,739,0,0
Books,1842.46,3,5,11,1457,1,1
Beauty,437.54,3,20,8,1481,1,0
Electronics,283.02,2,15,12,1216,1,1
Beauty,1758.3,4,5,18,662,1,1
Home & Kitchen,551.72,2,0,15,872,0,0
Groceries,729.35,2,5,19,624,1,0
Toys,612.05,3,15,11,1544,1,1
Groceries,532.97,1,25,7,1059,1,0
Groceries,730.9,3,20,22,24,1,1
Groceries,1197.42,3,0,24,1505,1,1
Fashion,202.38,3,15,17,857,1,1
Toys,1557.09,2,5,9,347,1,1
Groceries,1146.32,2,10,2,1612,1,0
Groceries,549.07,3,10,6,1485,1,0
Home & Kitchen,1128.03,3,10,21,600,1,0
Sports,394.73,3,0,24,1445,1,0
Toys,529.14,3,10,20,1174,1,0
Home & Kitchen,517.08,3,25,16,1682,1,0
Sports,421.48,3,10,1,1065,0,0
Groceries,471.76,2,20,18,324,1,1
Electronics,972.33,4,0,21,1055,0,0
Beauty,1110.96,3,0,22,1234,1,0
Groceries,611.53,3,15,6,261,0,0
Electronics,520.07,3,10,8,1315,0,0
Electronics,421.46,1,10,20,1559,0,0
Books,940.16,1,20,18,64,1,0
Home & Kitchen,538.47,4,15,21,346,1,1
Beauty,1097.78,4,15,7,526,1,1
Sports,477.67,4,15,4,839,0,0
Toys,1788.67,2,30,4,1611,1,0
Home & Kitchen,1077.64,1,20,13,1170,1,0
Sports,396.36,4,0,1,363,0,0
Groceries,242.05,4,15,22,139,1,1
Books,1850.19,3,0,8,1703,0,0
Books,1550.86,1,30,21,345,1,0
Fashion,264.86,2,0,24,879,1,0
Fashion,290.16,4,20,4,1648,1,0
Groceries,464.2,4,20,17,181,0,0
Electronics,903.72,1,25,22,92,1,0
Beauty,935.99,4,5,22,1025,0,0
Toys,349.72,4,0,4,493,1,0
Toys,682.93,4,20,4,504,0,0
Toys,1124.42,2,10,8,46,0,0
Electronics,517.32,4,5,6,1413,0,0
Books,1499.67,2,10,17,79,1,1
Sports,488.25,4,20,9,144,1,0
Beauty,314.39,3,10,9,1562,1,0
Groceries,578.6,4,0,16,380,1,0
Toys,763.52,4,0,4,85,0,0
Electronics,933.75,3,15,5,1673,1,0
Beauty,1670.95,3,10,17,1425,1,0
Groceries,566.53,2,10,8,34,1,0
Fashion,193.2,2,20,12,991,1,0
Beauty,961.46,3,30,20,1114,0,0
Books,1605.89,3,20,7,295,0,0
Books,1110.64,4,10,19,1197,0,0
Electronics,327.81,3,15,22,28,1,0
Fashion,311.71,4,5,5,1212,0,0
Beauty,239.83,1,0,2,166,0,0
Electronics,673.52,4,25,8,609,1,0
Books,787.97,4,10,9,1524,0,0
Sports,498.87,4,0,8,489,0,0
Electronics,447.17,3,10,21,826,0,0
Sports,382.59,3,0,8,1655,0,0
Fashion,742.65,4,0,18,1372,1,1
Beauty,450.79,4,20,13,1596,1,0
Toys,853.68,4,0,2,257,1,0
Books,1637.75,2,0,15,1005,1,0
Home & Kitchen,876.33,2,0,4,1520,0,0
Electronics,834.29,2,0,12,1782,0,0
Home & Kitchen,1078.32,1,15,11,386,1,0
Sports,97.6,1,20,1,482,1,0
